================================================================================================================================
  X4 FORESIGHT v2 — COMPLETED STATION TRADES (with categorization)
================================================================================================================================
  1,246 commercial trades   proven=821  inferred=160  unknown=265
  by method: courier=821  unresolved=265  sector=76  delivery=59  visit=25
  (also 25 internal transfers, not shown here)

────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
  GX HQ  ·  576 trades   [v] 437   [~] 53   [?] 86
  ─────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
  Time    Ship                             Dir Ware               Units     Cr/u       Total  Counterparty                            Source
  59m     Osprey Vanguard [GBS-045]        Out Antimatter Cells     100   146.75      14,675  TEL Claytronics Factory I (PFJ-689)     [v] proven (courier)
  59m     Demeter Vanguard [TKZ-886]       Out Refined Metals       530   213.06     112,922  ARG Hull Part Factory VI (QWU-139)      [v] proven (courier)
  1h 03m  Magpie Sentinel [LSS-543]        Out Energy Cells       1,040    18.02      18,741  TEL Hull Part Factory I (KBJ-943)       [v] proven (courier)
  1h 03m  Mercury Vanguard [UDZ-035]       Out Energy Cells       8,200    15.43     126,526  ARG Solar Power Plant I (LMS-363)       [~] infer (delivery)
  1h 03m  Sunder (Gas) Vanguard [UNM-369]  Out Hydrogen             320    50.75      16,240  ARG Refined Goods Complex I (FKD-146)   [v] proven (courier)
  1h 06m  Osprey Vanguard [GBS-045]        Out Antimatter Cells     100   146.75      14,675  TEL Claytronics Factory I (PFJ-689)     [v] proven (courier)
  1h 09m  Mercury Sentinel [VWB-834]       Out Refined Metals       164   209.36      34,335  ARG Scanning Array Factory I (LOL-119)  [v] proven (courier)
  1h 13m  Vulture Vanguard [AOL-503]       Out Energy Cells       3,003    17.89      53,724  TEL Graphene Refinery I (QLD-814)       [v] proven (courier)
  1h 14m  Magpie Sentinel [LSS-543]        Out Refined Metals       276   211.02      58,242  ARG Hull Part Factory III (OPO-874)     [v] proven (courier)
  1h 15m  Sunder (Gas) Vanguard [UNM-369]  Out Hydrogen             640    50.85      32,544  PAR Refined Goods Complex I (OUF-875)   [v] proven (courier)
  1h 19m  Tethys Vanguard [RGE-820]        Out Energy Cells       1,580    16.10      25,438  PAR Refined Goods Complex I (LZK-973)   [~] infer (delivery)
  1h 22m  Osprey Vanguard [GBS-045]        Out Antimatter Cells     135   172.87      23,337  ARG Engine Part Factory I (IHN-704)     [v] proven (courier)
  1h 22m  Ides Vanguard [WNP-362]          Out Energy Cells         840    22.00      18,480  ARG Weapon Component Factory I (MMV-07  [v] proven (courier)
  1h 25m  Mercury Sentinel [VWB-834]       Out Refined Metals       702   212.22     148,978  ARG Hull Part Factory VI (QWU-139)      [v] proven (courier)
  1h 26m  Sunder (Gas) Vanguard [UNM-369]  Out Hydrogen             580    50.83      29,481  PAR Refined Goods Complex I (OUF-875)   [v] proven (courier)
  1h 26m  Magpie Sentinel [LSS-543]        Out Energy Cells       1,050    18.38      19,299  TEL Microchip Factory IV (LWS-533)      [v] proven (courier)
  1h 33m  Demeter Vanguard [TKZ-886]       Out Refined Metals       528   207.00     109,296  ARG Hull Part Factory III (OPO-874)     [v] proven (courier)
  1h 37m  Magpie Sentinel [LSS-543]        Out Energy Cells       3,870    18.60      71,982  PAR Soja Bean Farm I (QOS-579)          [v] proven (courier)
  1h 37m  Sunder (Gas) Vanguard [UNM-369]  Out Hydrogen             576    50.83      29,278  PAR Refined Goods Complex I (OUF-875)   [v] proven (courier)
  1h 40m  Mercury Sentinel [VWB-834]       Out Energy Cells         840    22.28      18,715  ARG Weapon Component Factory V (JVX-63  [v] proven (courier)
  1h 44m  Osprey Vanguard [GBS-045]        Out Energy Cells       1,680    18.59      31,231  TEL Hull Part Factory I (OWV-766)       [v] proven (courier)
  1h 48m  Magpie Sentinel [LSS-543]        Out Energy Cells       1,277    19.99      25,527  PAR Microchip Factory II (REC-736)      [v] proven (courier)
  1h 50m  Sunder (Gas) Vanguard [UNM-369]  Out Hydrogen             640    50.85      32,544  ARG Refined Goods Complex I (FKD-146)   [v] proven (courier)
  1h 51m  Vulture Vanguard [AOL-503]       Out Refined Metals       176   209.08      36,798  ARG Hull Part Factory I (QHB-659)       [v] proven (courier)
  2h 00m  Mercury Sentinel [VWB-834]       Out Energy Cells       1,680    22.97      38,590  ANT Shield Component Factory II (PPF-1  [v] proven (courier)
  2h 01m  Tern Sentinel [BFM-940]          Out Antimatter Cells     755   160.99     121,547  ARG Claytronics Factory I (WYW-730)     [v] proven (courier)
  2h 01m  Sunder (Gas) Vanguard [UNM-369]  Out Hydrogen           1,733    51.35      88,990  PAR Refined Goods Complex I (OUF-875)   [v] proven (courier)
  2h 01m  Magpie Sentinel [LSS-543]        Out Refined Metals       176   210.96      37,129  ARG Hull Part Factory I (QHB-659)       [v] proven (courier)
  2h 02m  Ides Vanguard [WNP-362]          Out Energy Cells       4,132    19.65      81,194  PAR Silicon Refinery II (AAL-376)       [v] proven (courier)
  2h 05m  Osprey Vanguard [GBS-045]        Out Energy Cells         640    16.17      10,349  TEL Quantum Tube Factory I (OHW-677)    [v] proven (courier)
  2h 07m  Demeter Vanguard [TKZ-886]       Out Refined Metals       176   209.57      36,884  ARG Hull Part Factory III (OPO-874)     [v] proven (courier)
  2h 08m  Tern Sentinel [XNX-957]          Out Antimatter Cells     755   156.78     118,369  —                                       [?] unknown
  2h 09m  [0x8f64]                         Out Antimatter Cells     755   162.09     122,378  —                                       [?] unknown
  2h 13m  Sunder (Gas) Vanguard [UNM-369]  Out Hydrogen             960    50.94      48,902  ARG Refined Goods Complex I (FKD-146)   [v] proven (courier)
  2h 13m  Vulture Vanguard [LWI-438]       Out Energy Cells      12,080    15.85     191,468  TEL Nostrop Oil Factory I (QLD-388)     [~] infer (delivery)
  2h 16m  Magpie Sentinel [LSS-543]        Out Energy Cells         360    16.70       6,012  ARG Weapon Component Factory I (JEM-75  [v] proven (courier)
  2h 17m  Mercury Sentinel [VWB-834]       Out Energy Cells       1,483    16.38      24,292  TEL Scanning Array Factory I (STG-922)  [v] proven (courier)
  2h 24m  Sunder (Gas) Vanguard [UNM-369]  Out Hydrogen             940    50.94      47,884  PAR Refined Goods Complex I (OUF-875)   [v] proven (courier)
  2h 25m  Tern Vanguard [JKM-244]          Out Antimatter Cells     200   152.89      30,578  —                                       [?] unknown
  2h 25m  Osprey Vanguard [GBS-045]        Out Energy Cells         960    17.42      16,723  TEL Hull Part Factory II (XTQ-699)      [v] proven (courier)
  2h 29m  Magpie Sentinel [LSS-543]        Out Energy Cells         840    16.14      13,558  TEL Field Coil Factory I (CBN-007)      [v] proven (courier)
  2h 31m  Mercury Sentinel [VWB-834]       Out Energy Cells         840    18.34      15,406  TEL Quantum Tube Factory I (SHP-726)    [v] proven (courier)
  2h 32m  Vulture Sentinel [BDB-845]       Out Energy Cells       4,097    16.02      65,634  TEL Ice Refinery I (YIS-514)            [~] infer (delivery)
  2h 33m  Ides Vanguard [WNP-362]          Out Energy Cells       3,404    16.80      57,187  TEL Medical Supply Factory II (AXJ-314  [v] proven (courier)
  2h 34m  Vulture Vanguard [AOL-503]       Out Energy Cells       1,133    19.26      21,822  TEL Spice Farm I (KAE-228)              [v] proven (courier)
  2h 35m  Sunder (Gas) Vanguard [UNM-369]  Out Hydrogen             320    50.75      16,240  ARG Refined Goods Complex I (FKD-146)   [v] proven (courier)
  2h 38m  Magpie Sentinel [LSS-543]        Out Energy Cells       2,356    16.00      37,696  TEL Nostrop Oil Factory I (AWA-247)     [v] proven (courier)
  2h 38m  Vulture Vanguard [FKP-127]       Out Energy Cells       2,700    15.41      41,607  —                                       [?] unknown
  2h 41m  Demeter Vanguard [TKZ-886]       Out Refined Metals       352   212.39      74,761  ARG Hull Part Factory VI (QWU-139)      [v] proven (courier)
  2h 44m  Mercury Sentinel [VWB-834]       Out Refined Metals        88   211.75      18,634  ARG Hull Part Factory VI (QWU-139)      [v] proven (courier)
  2h 45m  Tern Sentinel [OEM-509]          Out Antimatter Cells     755   158.08     119,350  TEL Plasma Conductor Factory II (FZM-7  [~] infer (delivery)
  2h 46m  Sunder (Gas) Vanguard [UNM-369]  Out Hydrogen           1,280    51.04      65,331  PAR Refined Goods Complex I (OUF-875)   [v] proven (courier)
  2h 47m  Osprey Vanguard [GBS-045]        Out Antimatter Cells     135   158.82      21,441  ARG Claytronics Factory I (WYW-730)     [v] proven (courier)
  2h 50m  Magpie Sentinel [LSS-543]        Out Energy Cells       1,242    19.74      24,517  TEL Microchip Factory I (SLL-743)       [v] proven (courier)
  2h 59m  Ides Vanguard [WNP-362]          Out Energy Cells       1,920    19.76      37,939  TEL Hull Part Factory III (ZSP-757)     [v] proven (courier)
  2h 59m  Sunder (Gas) Vanguard [UNM-369]  Out Hydrogen             320    50.75      16,240  PAR Refined Goods Complex I (OUF-875)   [v] proven (courier)
  2h 59m  Vulture Vanguard [AOL-503]       Out Energy Cells         900    17.26      15,534  ARG Engine Part Factory I (TNN-118)     [v] proven (courier)
  3h 01m  Mercury Sentinel [VWB-834]       Out Antimatter Cells     546   167.90      91,673  ARG Claytronics Factory I (WYW-730)     [v] proven (courier)
  3h 03m  Tern Vanguard [WQY-086]          Out Energy Cells       7,100    15.99     113,529  —                                       [?] unknown
  3h 03m  Magpie Sentinel [LSS-543]        Out Energy Cells       1,760    19.00      33,440  TEL Hull Part Factory II (JSP-571)      [v] proven (courier)
  3h 04m  Tern Sentinel [BFM-940]          Out Refined Metals       264   209.23      55,237  ARG Hull Part Factory III (OPO-874)     [v] proven (courier)
  3h 08m  Tethys Vanguard [UAM-309]        Out Energy Cells       1,580    15.85      25,043  —                                       [?] unknown
  3h 11m  Sunder (Gas) Vanguard [UNM-369]  Out Hydrogen             203    50.72      10,296  PAR Refined Goods Complex I (OUF-875)   [v] proven (courier)
  3h 13m  Magpie Sentinel [LSS-543]        Out Antimatter Cells     200   155.64      31,128  TEL Claytronics Factory I (PFJ-689)     [v] proven (courier)
  3h 15m  Osprey Vanguard [GBS-045]        Out Antimatter Cells      80   156.77      12,542  HAT High Tech Factory II (ZQX-238)      [v] proven (courier)
  3h 15m  Demeter Vanguard [TKZ-886]       Out Refined Metals       264   207.00      54,648  ANT Engine Part Factory III (SZH-351)   [v] proven (courier)
  3h 18m  Mercury Sentinel [VWB-834]       Out Energy Cells       3,240    18.56      60,134  TEL Helium Refinery I (HHG-108)         [v] proven (courier)
  3h 20m  Vulture Vanguard [AOL-503]       Out Energy Cells         880    16.80      14,784  TEL Hull Part Factory I (HNB-704)       [v] proven (courier)
  3h 20m  Magpie Sentinel [LSS-543]        Out Energy Cells       3,398    16.79      57,052  TEL Medical Supply Factory I (TSR-749)  [v] proven (courier)
  3h 22m  Sunder (Gas) Vanguard [UNM-369]  Out Hydrogen             320    50.75      16,240  PAR Refined Goods Complex I (OUF-875)   [v] proven (courier)
  3h 25m  [0x8f64]                         Out Antimatter Cells     500   154.48      77,240  —                                       [?] unknown
  3h 27m  Vulture Vanguard [LWI-438]       Out Energy Cells       4,784    15.55      74,391  TEL Nostrop Oil Factory I (QLD-388)     [~] infer (delivery)
  3h 29m  Magpie Sentinel [LSS-543]        Out Energy Cells       1,540    19.56      30,122  TEL Claytronics Factory I (PFJ-689)     [v] proven (courier)
  3h 29m  Tern Sentinel [XNX-957]          Out Antimatter Cells     613   150.38      92,183  —                                       [?] unknown
  3h 34m  Sunder (Gas) Vanguard [UNM-369]  Out Hydrogen           1,600    51.14      81,824  PAR Refined Goods Complex I (OUF-875)   [v] proven (courier)
  3h 35m  Osprey Vanguard [GBS-045]        Out Energy Cells         480    18.90       9,072  TEL Turret Component Factory I (FVH-52  [v] proven (courier)
  3h 35m  Mercury Sentinel [VWB-834]       Out Antimatter Cells     546   189.65     103,549  ANT Engine Part Factory III (SZH-351)   [v] proven (courier)
  3h 36m  Ides Vanguard [WNP-362]          Out Energy Cells       2,720    22.00      59,840  ARG Hull Part Factory I (QHB-659)       [v] proven (courier)
  3h 37m  Magpie Sentinel [LSS-543]        Out Energy Cells       3,070    17.70      54,339  TEL Nostrop Oil Factory II (AML-461)    [v] proven (courier)
  3h 46m  Sunder (Gas) Vanguard [UNM-369]  Out Hydrogen             305    50.75      15,479  PAR Refined Goods Complex I (OUF-875)   [v] proven (courier)
  3h 47m  Tern Vanguard [JKM-244]          Out Antimatter Cells     604   141.69      85,581  —                                       [?] unknown
  3h 49m  Demeter Vanguard [TKZ-886]       Out Refined Metals       176   206.98      36,428  ARG Hull Part Factory VI (QWU-139)      [v] proven (courier)
  3h 49m  Magpie Sentinel [LSS-543]        Out Antimatter Cells     215   254.49      54,715  ANT Engine Part Factory III (SZH-351)   [v] proven (courier)
  3h 50m  Vulture Vanguard [AOL-503]       Out Energy Cells         600    20.72      12,432  ARG Weapon Component Factory II (LBJ-6  [v] proven (courier)
  3h 52m  Mercury Sentinel [VWB-834]       Out Antimatter Cells     546   277.44     151,482  ANT Engine Part Factory III (SZH-351)   [v] proven (courier)
  3h 53m  [0x8f64]                         Out Antimatter Cells     755   146.50     110,608  —                                       [?] unknown
  3h 54m  Osprey Vanguard [GBS-045]        Out Energy Cells         498    20.35      10,134  PAR Drone Component Factory I (ICN-403  [v] proven (courier)
  3h 57m  Sunder (Gas) Vanguard [UNM-369]  Out Hydrogen           1,280    51.04      65,331  PAR Refined Goods Complex I (OUF-875)   [v] proven (courier)
  4h 01m  Magpie Sentinel [LSS-543]        Out Energy Cells       1,440    22.68      32,659  ARG Advanced Electronics Factory I (HE  [v] proven (courier)
  4h 02m  [0x8f64]                         Out Antimatter Cells     100   143.06      14,306  —                                       [?] unknown
  4h 08m  Mercury Sentinel [VWB-834]       Out Energy Cells       4,480    21.02      94,170  ARG Hull Part Factory III (OPO-874)     [v] proven (courier)
  4h 08m  Sunder (Gas) Vanguard [UNM-369]  Out Hydrogen             500    50.81      25,405  PAR Refined Goods Complex I (OUF-875)   [v] proven (courier)
  4h 12m  Vulture Vanguard [AOL-503]       Out Energy Cells       2,041    18.97      38,718  TEL Scanning Array Factory I (STG-922)  [v] proven (courier)
  4h 12m  Magpie Sentinel [LSS-543]        Out Energy Cells       3,480    18.26      63,545  ANT Smart Chip Factory I (WMZ-888)      [v] proven (courier)
  4h 13m  Demeter Vanguard [TKZ-886]       Out Energy Cells       1,211    19.82      24,002  TEL Spice Farm I (KAE-228)              [v] proven (courier)
  4h 19m  Sunder (Gas) Vanguard [UNM-369]  Out Hydrogen             694    50.86      35,297  PAR Refined Goods Complex I (OUF-875)   [v] proven (courier)
  4h 21m  Osprey Vanguard [GBS-045]        Out Energy Cells       2,430    19.79      48,090  ANT Hull Part Factory II (XCV-961)      [v] proven (courier)
  4h 23m  Mercury Sentinel [VWB-834]       Out Refined Metals       471   208.83      98,359  ARG Hull Part Factory III (OPO-874)     [v] proven (courier)
  4h 26m  Magpie Sentinel [LSS-543]        Out Energy Cells       2,233    20.35      45,442  ANT Scanning Array Factory I (DOJ-956)  [v] proven (courier)
  4h 27m  Ides Vanguard [WNP-362]          Out Refined Metals       421   207.00      87,147  ARG Hull Part Factory III (OPO-874)     [v] proven (courier)
  4h 31m  Demeter Vanguard [TKZ-886]       Out Energy Cells       1,756    18.98      33,329  TEL Hull Part Factory I (OWV-766)       [v] proven (courier)
  4h 31m  Vulture Vanguard [AOL-503]       Out Energy Cells       1,450    18.94      27,463  TEL Advanced Composite Factory I (WTF-  [v] proven (courier)
  4h 32m  Sunder (Gas) Vanguard [UNM-369]  Out Hydrogen             640    50.85      32,544  PAR Refined Goods Complex I (OUF-875)   [v] proven (courier)
  4h 33m  Tern Sentinel [BFM-940]          Out Refined Metals       971   207.46     201,444  ARG Hull Part Factory III (OPO-874)     [v] proven (courier)
  4h 34m  [0x8f64]                         Out Antimatter Cells     418   151.03      63,131  —                                       [?] unknown
  4h 37m  Mercury Sentinel [VWB-834]       Out Energy Cells       1,082    18.33      19,833  TEL Hull Part Factory I (KBJ-943)       [v] proven (courier)
  4h 38m  Tern Vanguard [JKM-244]          Out Antimatter Cells     300   150.28      45,084  —                                       [?] unknown
  4h 38m  Magpie Sentinel [LSS-543]        Out Energy Cells       1,887    18.29      34,513  TEL Scanning Array Factory I (XXR-298)  [v] proven (courier)
  4h 42m  Osprey Vanguard [GBS-045]        Out Energy Cells         960    19.49      18,710  PAR Quantum Tube Factory II (ADB-836)   [v] proven (courier)
  4h 45m  Sunder (Gas) Vanguard [UNM-369]  Out Hydrogen           1,280    51.04      65,331  PAR Refined Goods Complex I (OUF-875)   [v] proven (courier)
  4h 46m  Demeter Vanguard [TKZ-886]       Out Energy Cells       3,463    18.95      65,624  TEL Graphene Refinery I (QLD-814)       [v] proven (courier)
  4h 52m  Mercury Sentinel [HSS-776]       Out Energy Cells       9,840    15.03     147,895  —                                       [?] unknown
  4h 53m  Mercury Sentinel [VWB-834]       Out Energy Cells       1,020    17.43      17,779  TEL Field Coil Factory I (CBN-007)      [v] proven (courier)
  4h 53m  Magpie Sentinel [LSS-543]        Out Energy Cells       3,500    18.67      65,345  TEL Nostrop Oil Factory I (SUA-021)     [v] proven (courier)
  4h 59m  Sunder (Gas) Vanguard [UNM-369]  Out Hydrogen           1,310    51.05      66,876  PAR Refined Goods Complex I (OUF-875)   [v] proven (courier)
  5h 02m  Demeter Vanguard [TKZ-886]       Out Energy Cells       1,392    15.94      22,188  TEL Scanning Array Factory I (NQA-203)  [v] proven (courier)
  5h 02m  Tern Sentinel [OEM-509]          Out Antimatter Cells     755   154.55     116,685  TEL Plasma Conductor Factory II (FZM-7  [~] infer (delivery)
  5h 13m  Demeter Vanguard [TKZ-886]       Out Energy Cells         540    19.80      10,692  PAR Weapon Component Factory II (UYS-8  [v] proven (courier)
  5h 13m  Sunder (Gas) Vanguard [UNM-369]  Out Hydrogen           1,310    51.05      66,876  PAR Refined Goods Complex I (OUF-875)   [v] proven (courier)
  5h 14m  Mercury Sentinel [VWB-834]       Out Energy Cells         923    19.13      17,657  TEL Quantum Tube Factory I (SHP-726)    [v] proven (courier)
  5h 16m  Osprey Vanguard [GBS-045]        Out Energy Cells         680    16.58      11,274  TEL Quantum Tube Factory I (OHW-677)    [v] proven (courier)
  5h 17m  Ides Vanguard [WNP-362]          Out Energy Cells           2    18.78          38  TEL Quantum Tube Factory I (SHP-726)    [v] proven (courier)
  5h 18m  Magpie Sentinel [LSS-543]        Out Energy Cells       3,870    18.13      70,163  TEL Medical Supply Factory II (AXJ-314  [v] proven (courier)
  5h 24m  Sunder (Gas) Vanguard [UNM-369]  Out Hydrogen             320    50.75      16,240  PAR Refined Goods Complex I (OUF-875)   [v] proven (courier)
  5h 27m  Hermes Vanguard [TVM-941]        Out Energy Cells       7,100    16.15     114,665  —                                       [?] unknown
  5h 30m  Magpie Sentinel [LSS-543]        Out Energy Cells         958    17.40      16,669  TEL Hull Part Factory II (XTQ-699)      [v] proven (courier)
  5h 30m  [0x8f64]                         Out Antimatter Cells     529   165.17      87,375  —                                       [?] unknown
  5h 30m  Demeter Vanguard [TKZ-886]       Out Energy Cells       1,955    18.31      35,796  TEL Hull Part Factory II (GLO-475)      [v] proven (courier)
  5h 33m  Mercury Sentinel [VWB-834]       Out Energy Cells         100    19.00       1,900  ARG Argon Defence Platform (POO-506)    [v] proven (courier)
  5h 35m  Sunder (Gas) Vanguard [UNM-369]  Out Hydrogen             761    50.88      38,720  PAR Refined Goods Complex I (OUF-875)   [v] proven (courier)
  5h 35m  TEL Vulture Sentinel [KJR-904]   Out Antimatter Cells     838   165.64     138,806  —                                       [?] unknown
  5h 37m  Tern Sentinel [BFM-940]          Out Energy Cells       1,310    20.69      27,104  PAR Quantum Tube Factory II (UKO-530)   [v] proven (courier)
  5h 40m  Osprey Vanguard [GBS-045]        Out Energy Cells       1,886    19.60      36,966  TEL Hull Part Factory II (JSP-571)      [v] proven (courier)
  5h 41m  Magpie Sentinel [LSS-543]        Out Energy Cells       1,264    19.97      25,242  ARG Microchip Factory I (UTF-166)       [v] proven (courier)
  5h 44m  Ides Vanguard [WNP-362]          Out Energy Cells           2    19.65          39  ARG Microchip Factory I (UTF-166)       [v] proven (courier)
  5h 46m  Sunder (Gas) Vanguard [UNM-369]  Out Hydrogen              35    50.67       1,773  PAR Refined Goods Complex I (OUF-875)   [v] proven (courier)
  5h 52m  Mercury Sentinel [VWB-834]       Out Energy Cells       1,302    20.15      26,235  PAR Microchip Factory I (JYM-336)       [v] proven (courier)
  5h 53m  Magpie Sentinel [LSS-543]        Out Energy Cells         360    19.40       6,984  TEL Drone Component Factory I (VWZ-124  [v] proven (courier)
  5h 54m  Demeter Vanguard [TKZ-886]       Out Energy Cells       1,626    21.15      34,390  ANT Field Coil Factory I (KZS-670)      [v] proven (courier)
  6h 00m  Sunder (Gas) Vanguard [UNM-369]  Out Hydrogen             960    50.94      48,902  PAR Refined Goods Complex I (OUF-875)   [v] proven (courier)
  6h 00m  Osprey Vanguard [GBS-045]        Out Energy Cells       2,430    16.94      41,164  TEL Nostrop Oil Factory II (AML-461)    [v] proven (courier)
  6h 06m  Magpie Sentinel [LSS-543]        Out Refined Metals       276   210.16      58,004  ARG Hull Part Factory VI (QWU-139)      [v] proven (courier)
  6h 08m  Vulture Vanguard [SPG-304]       Out Energy Cells      12,080    15.85     191,468  TEL Solar Power Plant I (RIC-970)       [~] infer (delivery)
  6h 08m  Mercury Sentinel [VWB-834]       Out Energy Cells         477    16.28       7,766  TEL Advanced Electronics Factory I (PI  [v] proven (courier)
  6h 10m  Tern Sentinel [BFM-940]          Out Energy Cells       1,600    18.18      29,088  TEL Hull Part Factory I (AKM-356)       [v] proven (courier)
  6h 10m  Sunder (Gas) Vanguard [UNM-369]  Out Hydrogen             320    50.75      16,240  PAR Refined Goods Complex I (OUF-875)   [v] proven (courier)
  6h 14m  Magpie Sentinel [LSS-543]        Out Energy Cells       1,036    16.81      17,415  TEL Claytronics Factory I (PFJ-689)     [v] proven (courier)
  6h 14m  [0x8f64]                         Out Antimatter Cells     755   173.58     131,053  —                                       [?] unknown
  6h 15m  Demeter Vanguard [TKZ-886]       Out Energy Cells         800    16.18      12,944  TEL Hull Part Factory I (HNB-704)       [v] proven (courier)
  6h 21m  Osprey Vanguard [GBS-045]        Out Energy Cells       2,386    22.00      52,492  TEL Microchip Factory V (MAK-744)       [v] proven (courier)
  6h 25m  Sunder (Gas) Vanguard [UNM-369]  Out Hydrogen             808    50.90      41,127  PAR Refined Goods Complex I (OUF-875)   [v] proven (courier)
  6h 26m  Ides Vanguard [WNP-362]          Out Energy Cells           2    22.00          44  TEL Microchip Factory V (MAK-744)       [v] proven (courier)
  6h 28m  Mercury Sentinel [VWB-834]       Out Energy Cells       2,640    17.00      44,880  TEL Helium Refinery I (HHG-108)         [v] proven (courier)
  6h 35m  Vulture Sentinel [ACL-941]       Out Energy Cells      15,100    14.34     216,534  ARG Solar Power Plant II (UMV-716)      [~] infer (delivery)
  6h 39m  Sunder (Gas) Vanguard [UNM-369]  Out Hydrogen             320    50.75      16,240  PAR Refined Goods Complex I (OUF-875)   [v] proven (courier)
  6h 40m  Tern Sentinel [BFM-940]          Out Energy Cells       1,400    18.68      26,152  TEL Advanced Composite Factory I (WTF-  [v] proven (courier)
